,Rank,Country/Region,Barrel consumption/day,Year
0,NaN,World ,"100,100,000",2019
1,1,United States,20000000,2018
2,NaN,European Union,"15,000,000",2017
3,2,China,13500000,2018
4,3,India,4990000,2018
5,4,Japan,3988000,2017
6,5,Saudi Arabia,3918000,2017
7,6,Russia,3224000,2017
8,7,Brazil,3017000,2017
9,8,South Korea,2796000,2017
10,9,Germany,2447000,2017
11,10,Canada,2428000,2017
12,11,Iran,1947000,2015
13,12,Mexico,1926000,2015
14,13,France,1606000,2015
15,14,Indonesia,1628000,2015
16,15,United Kingdom,1559000,2015
17,16,Thailand,1344100,2015
18,17,Singapore,1339000,2015
19,18,Italy,1262000,2015
20,19,Spain,1226000,2015
21,20,Taiwan,1031100,2015
22,21,Australia,1006000,2015
23,22,Netherlands,835000,2015
24,22,Turkey,835000,2015
25,24,Malaysia,831000,2015
26,25,Egypt,824000,2015
27,26,Iraq,818000,2011
28,27,Argentina,678100,2011
29,28,Belgium,644400,2011
30,29,South Africa,590900,2011
31,30,Poland,576600,2011
32,31,United Arab Emirates,572100,2011
33,32,Venezuela,571000,2011
34,33,Pakistan,566000,2016
35,34,Vietnam,522000,2018
36,35,Greece,343400,2011
37,36,Kuwait,339000,2011
38,37,Hong Kong,333900,2013
39,38,Chile,321700,2011
40,39,Ukraine,320600,2011
41,40,Algeria,316400,2011
42,41,Sweden,316000,2011
43,42,Philippines,315600,2011
44,43,Libya,314000,2011
45,44,Colombia,287000,2011
46,45,Ecuador,280000,2012
47,46,Nigeria,271600,2011
48,47,Portugal,259900,2012
49,48,Syria,258800,2011
50,49,Switzerland,258200,2011
51,50,Norway,255200,2011
52,51,Israel,247000,2017
53,52,Kazakhstan,244200,2011
54,53,Romania,238400,2011
55,54,Austria,210700,2011
56,55,Peru,206900,2012
57,56,Morocco,204800,2011
58,57,Finland,203600,2011
59,58,Czech Republic,199000,2011
60,59,Belarus,189700,2012
61,60,Qatar,188800,2011
62,61,Azerbaijan,177000,2011
63,62,Yemen,168000,2011
64,63,Denmark,160200,2011
65,64,Puerto Rico,151600,2011
66,65,Cuba,150200,2011
67,66,New Zealand,148900,2011
68,67,Turkmenistan,145000,2011
69,68,Ireland,144000,2011
70,69,Hungary,141100,2011
71,70,Uzbekistan,137100,2011
72,71,Dominican Republic,122300,2011
73,72,Bulgaria,112700,2011
74,73,Bangladesh,108900,2011
75,74,Jordan,107000,2011
76,75,Lebanon,106700,2011
77,76,U.S. Virgin Islands,106100,2011
78,77,Oman,98890,2011
79,78,Panama,98000,2011
80,79,Sudan,95450,2011
81,80,Sri Lanka,89620,2011
82,81,Tunisia,88380,2011
83,82,Guatemala,83910,2011
84,83,Slovakia,80810,2011
