Country,2016,2017,2018,3Q19,4Q19,2019,Change 19/18,1Q20,2Q20,3Q20,4Q20,Change 20/19
US,13.616849584699454,14.40416126849315,16.711865523287674,18.364541,19.147141,18.397463191780826,1.6855976684931484,19.049699,18.40002,17.999889000000003,17.55007,18.24732419945355
Canada,4.498983193989071,4.850241128767124,5.278542575342466,5.37793,5.530530000000001,5.411764520547943,0.13322194520547814,5.513603,5.11029,5.290318,5.369688,5.321024084699453
Mexico,2.4645465846994536,2.2319070054794516,2.076569824657535,1.932206,1.934206,1.9245155890410959,-0.15205423561643872,1.9738220000000002,1.8425919999999998,1.792516,1.7315939999999999,1.8347316775956284
Norway,1.9967866338797815,1.9691096739726024,1.8515234794520548,1.6505849999999997,1.9463849999999998,1.7351734931506848,-0.11634998630137015,2.050907,1.9703680000000001,2.0565130000000003,2.119816,2.0496128224043715
UK,1.040081844262295,1.02612618630137,1.1236877835616437,1.078953,1.135953,1.1459535479452054,0.02226576438356176,1.199861,1.136328,1.1049209999999998,1.209667,1.1626647404371586
Denmark,0.14496413114754098,0.14306555616438354,0.1209807315068493,0.101663,0.086663,0.10829587671232876,-0.012684854794520542,0.083692,0.096722,0.091751,0.08678,0.08973367759562842
Other OECD Europe,0.6713727486338797,0.6884004630136986,0.7448146,0.7149760000000001,0.7159760000000001,0.7177294246575342,-0.0270851753424658,0.725383,0.7076819999999999,0.704882,0.703973,0.7104469262295082
Australia,0.34965284426229504,0.3173259205479452,0.339589093150685,0.436537,0.456937,0.4168860410958905,0.07729694794520547,0.45457299999999995,0.47602700000000003,0.5123,0.512389,0.4889507868852459
Other Asia Pacific,0.07563927868852459,0.07443589863013697,0.06842509589041096,0.075833,0.06043300000000001,0.06779902739726028,-0.0006260684931506805,0.06054299999999999,0.06578099999999999,0.065148,0.06464299999999999,0.06403348633879781
Brunei,0.12094260655737706,0.11314273424657535,0.11145193424657532,0.11357,0.13197,0.12185602739726027,0.010404093150684956,0.11822200000000001,0.092474,0.095726,0.095979,0.10057430601092897
India,0.8524700519125682,0.8603122986301369,0.8593286739726027,0.810161,0.8069609999999999,0.8236070273972602,-0.035721646575342485,0.797875,0.836153,0.8501209999999999,0.85272,0.8343112568306011
Indonesia,0.9270793142076504,0.8910190410958904,0.86915338630137,0.864241,0.858441,0.8718086712328766,0.002655284931506685,0.8829899999999999,0.84465,0.8424229999999999,0.841308,0.8527827650273224
Malaysia,0.7309725327868851,0.7254685397260274,0.7349699863013699,0.628102,0.7035020000000001,0.6991250136986302,-0.03584497260273966,0.7090000000000001,0.576712,0.604638,0.604777,0.623677519125683
Thailand,0.5140355300546448,0.521109783561644,0.5173097698630137,0.534185,0.529185,0.5148726712328767,-0.002437098630136969,0.5266390000000001,0.5193810000000001,0.512413,0.505732,0.5160031693989071
Vietnam,0.3088415464480875,0.27702977534246576,0.2453231315068493,0.22132600000000002,0.21632600000000002,0.22700819178082196,-0.01831493972602741,0.21356999999999998,0.211348,0.209659,0.208504,0.2107610218579235
Asia others,0.2534531010928961,0.2439683671232877,0.2280696904109589,0.224985,0.222985,0.22596582191780826,-0.002103868493150668,0.21964499999999998,0.222712,0.22018200000000002,0.218061,0.22014437978142076
Argentina,0.6675599098360656,0.6465286520547945,0.6484465835616439,0.666285,0.668485,0.6617348630136985,0.013288279452054684,0.668949,0.672311,0.678569,0.6877260000000001,0.6769229508196721
