,Country,2019 Crude Oil Barrel production/day,2017 Crude Oil Barrel production/day/million people
0,World,80622000,10798
1,United States,15043000,35922
2,Saudi Arabia ,12000000,324866
3,Russia,10800000,73292
4,Iraq ,4451516,119664
5,Iran ,3990956,49714
6,China,3980650,2836
7,Canada,3662694,100931
8,United Arab Emirates ,3106077,335103
9,Kuwait ,2923825,721575
10,Brazil,2515459,12113
11,Venezuela ,2276967,69914
12,Mexico,2186877,17142
13,Nigeria ,1999885,10752
14,Angola ,1769615,61417
15,Norway,1647975,313661
16,Kazakhstan,1595199,88686
17,Qatar,1522902,500000
18,Algeria ,1348361,33205
19,Oman,1006841,217178
20,Libya ,1003000,159383
21,United Kingdom,939760,14284
22,Colombia,897784,18452
23,Indonesia,833667,3192
24,Azerbaijan,833538,85710
25,India,715459,554
26,Malaysia,661240,21202
27,Ecuador ,548421,33470
28,Argentina,510560,11644
29,Romania,504000,25469
30,Egypt,490000,5166
31,"Congo, Republic of the ",308363,60168
32,Vietnam,301850,3194
33,Australia,289749,12010
34,Thailand,257525,3667
35,Sudan and South Sudan,255000,4932
36,Turkmenistan,230779,40759
37,Equatorial Guinea ,227000,125068
38,Gabon ,210820,106528
39,Denmark,140637,24369
40,Chad,110156,7393
41,Brunei,109117,257959
42,Ghana,100549,3564
43,Cameroon,93205,3983
44,Pakistan,80000,400
45,Italy,70675,1189
46,Timor-Leste,60661,47839
47,Trinidad and Tobago,60090,44054
48,Bolivia,58077,5334
49,Papua New Guinea,56667,7013
50,Uzbekistan,52913,1682
51,Bahrain,50000,36000
52,Cuba,50000,4357
53,Turkey,49497,622
54,Tunisia,48757,4275
55,Germany,46839,571
56,Peru,40266,1267
57,New Zealand,35574,7633
58,Ukraine,31989,720
59,Ivory Coast,30000,1265
60,Syria,30000,1627
61,Belarus,25000,2637
62,Mongolia,23426,7739
63,Albania,22915,7901
64,Yemen,22000,797
65,Poland,20104,525
66,"Congo, Democratic Republic of the",20000,254
67,Philippines,20000,193
68,Serbia,20000,2272
69,Netherlands,18087,1070
70,Suriname,17000,30465
71,France,16418,253
72,Austria,15161,1742
73,Myanmar,15000,284
74,Hungary,13833,1426
75,Croatia,13582,3223
76,Niger,13000,631
77,Guatemala,8977,544
78,Mauritania,5000,1162
79,Chile,4423,247
80,Bangladesh,4189,25
81,Japan,3918,30
82,Greece,3172,285
83,Spain,2667,57
84,Czech Republic,2333,220
85,Belize,2000,5464
86,Lithuania,2000,689
87,South Africa,2000,35
88,Barbados,1000,3521
89,Bulgaria,1000,140
90,Kyrgyzstan,1000,169
91,Georgia,400,102
92,Israel,390,47
93,Slovakia,200,37
94,Taiwan,196,8
95,Tajikistan,180,20
96,Morocco,160,4
