Country/Region,Rank,Barrel consumption/day,Year
World ,NaN,"100,100,000",2019
United States,1,20000000,2018
European Union,NaN,"15,000,000",2017
China,2,13500000,2018
India,3,4990000,2018
Japan,4,3988000,2017
Saudi Arabia,5,3918000,2017
Russia,6,3224000,2017
Brazil,7,3017000,2017
South Korea,8,2796000,2017
Germany,9,2447000,2017
Canada,10,2428000,2017
Iran,11,1947000,2015
Mexico,12,1926000,2015
France,13,1606000,2015
Indonesia,14,1628000,2015
United Kingdom,15,1559000,2015
Thailand,16,1344100,2015
Singapore,17,1339000,2015
Italy,18,1262000,2015
Spain,19,1226000,2015
Taiwan,20,1031100,2015
Australia,21,1006000,2015
Netherlands,22,835000,2015
Turkey,22,835000,2015
Malaysia,24,831000,2015
Egypt,25,824000,2015
Iraq,26,818000,2011
Argentina,27,678100,2011
Belgium,28,644400,2011
South Africa,29,590900,2011
Poland,30,576600,2011
United Arab Emirates,31,572100,2011
Venezuela,32,571000,2011
Pakistan,33,566000,2016
Vietnam,34,522000,2018
Greece,35,343400,2011
Kuwait,36,339000,2011
Hong Kong,37,333900,2013
Chile,38,321700,2011
Ukraine,39,320600,2011
Algeria,40,316400,2011
Sweden,41,316000,2011
Philippines,42,315600,2011
Libya,43,314000,2011
Colombia,44,287000,2011
Ecuador,45,280000,2012
Nigeria,46,271600,2011
Portugal,47,259900,2012
Syria,48,258800,2011
Switzerland,49,258200,2011
Norway,50,255200,2011
Israel,51,247000,2017
Kazakhstan,52,244200,2011
Romania,53,238400,2011
Austria,54,210700,2011
Peru,55,206900,2012
Morocco,56,204800,2011
Finland,57,203600,2011
Czech Republic,58,199000,2011
Belarus,59,189700,2012
Qatar,60,188800,2011
Azerbaijan,61,177000,2011
Yemen,62,168000,2011
Denmark,63,160200,2011
Puerto Rico,64,151600,2011
Cuba,65,150200,2011
New Zealand,66,148900,2011
Turkmenistan,67,145000,2011
Ireland,68,144000,2011
Hungary,69,141100,2011
Uzbekistan,70,137100,2011
Dominican Republic,71,122300,2011
Bulgaria,72,112700,2011
Bangladesh,73,108900,2011
Jordan,74,107000,2011
Lebanon,75,106700,2011
U.S. Virgin Islands,76,106100,2011
Oman,77,98890,2011
Panama,78,98000,2011
Sudan,79,95450,2011
Sri Lanka,80,89620,2011
Tunisia,81,88380,2011
Guatemala,82,83910,2011
Slovakia,83,80810,2011
Angola,84,79430,2011
Kenya,85,79410,2011
Croatia,86,78520,2011
Jamaica,87,74410,2012
Serbia,88,72770,2013
Curacao,89,72000,2010
Lithuania,90,70390,2011
Ghana,91,61590,2011
Luxembourg,92,61380,2011
Cyprus,93,58430,2011
Honduras,94,58150,2011
Bolivia,95,55560,2013
Slovenia,96,52930,2011
Bahrain,97,51450,2012
Uruguay,98,51100,2011
Costa Rica,99,50200,2011
Ethiopia,100,49080,2011
Armenia,101,45300,2011
El Salvador,102,44040,2011
Tanzania,103,43310,2011
Trinidad and Tobago,104,41000,2011
Myanmar,105,40620,2011
Senegal,106,40600,2011
Cambodia,107,39350,2011
Albania,108,38390,2011
