 ,Country,2016,2017,2018,1Q19,2Q19,3Q19,4Q19,2019,1Q20,2Q20,3Q20,4Q20,2020
,World oil demand and supply balance,,,,,,,,,,,,,
,World demand,,,,,,,,,,,,,
,OECD,47.06550819672131,47.60606849315068,48.00539096230281,47.719180878046345,47.14665371603155,48.45629523029244,48.292612724175555,47.906770682175605,45.53135008958477,38.36964868997228,45.170128297120755,46.54626142138923,43.915536428543
,Americas,24.89012841530055,25.070254794520547,25.60211832342504,25.135017316511576,25.291987121861453,26.029212666927535,25.990015789790593,25.615044944091782,24.553911797587098,20.34584763395559,24.77921627673521,25.264862775517965,23.744298930888675
,Europe,14.036516393442623,14.384468493150685,14.326887671232878,14.08823743667313,14.247815190186222,14.750958946194698,14.24797016572242,14.335326109325763,13.099809359168283,11.369953797546556,13.553239736548676,13.780476877208724,12.955457553003782
,Asia Pacific,8.138863387978141,8.151345205479451,8.0763849676449,8.495926124861638,7.606851403983875,7.6761236171702025,8.05462676866254,7.956399628758061,7.8776289328293885,6.653847258470135,6.837672283836869,7.500921768662542,7.215779944650543
,DCs,31.563791471319085,32.1329112061872,32.62061920907289,32.95776737760922,32.838823966045304,33.41483582098398,33.10180627370457,33.079624979743286,31.91589243460803,30.560992006677335,31.424845684050393,32.00225506689581,31.47762735203867
,FSU,4.57160020568146,4.64302237431116,4.75552759240992,4.697616243785302,4.676995950782473,4.955426912495988,5.037028880433816,4.8430082915381485,4.497596335084218,4.37663802743744,4.5513339980671725,4.709328588193438,4.534649390637158
,Other Europe,0.6957174619115104,0.7176753476299956,0.7426754272998229,0.7516228418403051,0.708652313592001,0.7488278267460908,0.8407715617476351,0.7626755069696501,0.7076228418403051,0.640652313592001,0.5697839251087199,0.664219107104405,0.6454436359920127
,China,11.800905110163937,12.320791966807,12.712058781911516,12.626663111261271,13.190258235504949,12.952557472329186,13.519547053625718,13.074374783102234,10.269715866321103,12.749827454350143,12.566588054222475,13.379701256326898,12.246679700610564
,(a) Total world demand,95.69752244579732,97.42046938808602,98.83627197299697,98.75285045254243,98.56138418195627,100.5279432628477,100.79176649368729,99.66645424352893,92.92217756743842,86.6977584920292,94.28267995856953,97.30176543990979,92.81993650782141
,Non-OPEC liquids production,,,,,,,,,,,,,
,OECD,24.863794898907106,25.71077861369863,28.325075328767127,29.319508999999996,29.640109000000002,29.743909,31.024908999999997,29.936265712328765,31.122674,29.816308,29.628642,29.358930000000004,29.97897263934426
,Americas,20.58529741803279,21.49231491506849,24.076054545205483,25.065161999999997,25.588162,25.685361999999998,26.622562,25.74442830136986,26.547715,25.3634,25.093127,24.661662000000003,25.41353019945355
,Europe,3.8532053579234975,3.8267018794520546,3.8410065945205476,3.823977,3.574577,3.5461769999999997,3.884977,3.7071523424657533,4.059843,3.9111000000000002,3.958067,4.120236,4.012458166666667
,Asia Pacific,0.42529212295081964,0.39176181917808217,0.40801418904109593,0.43037,0.47737,0.51237,0.51737,0.48468506849315074,0.515116,0.541808,0.577448,0.577032,0.5529842732240438
,DCs,14.097711084699455,13.942664191780823,14.020701890410958,14.028704000000001,14.097704,14.248704,14.465704,14.21150673972603,14.480034,14.055161,14.173011,14.233186,14.235171773224044
,FSU,13.851691497267762,14.04937279452055,14.290646265753427,14.552479,14.158079,14.343679,14.422279000000001,14.368702561643836,14.503692,11.824297,12.428125000000001,12.426178000000002,12.793559767759564
,Other Europe,0.13340434699453552,0.12773456164383562,0.12448763835616437,0.122326,0.122326,0.122326,0.119326,0.12156983561643836,0.119843,0.117445,0.115126,0.112891,0.11631358469945356
,China,4.090145071038251,3.969115104109589,3.976583416438356,4.047609,4.076609,4.046609,4.033609,4.051058315068493,4.043029,3.99982,3.989761,4.009537,4.010477254098361
,Processing gains,2.194,2.218,2.25,2.278,2.278,2.278,2.278,2.278,2.332,2.332,2.332,2.332,2.332
,Total non-OPEC liquids production,59.230746898907114,60.01766526575342,62.987494539726036,64.34862700000001,64.372827,64.78322700000001,66.343827,64.96710316438357,66.601272,62.145030999999996,62.666665,62.472722000000005,63.46649501912568
,"OPEC NGLs + 
non-conventional oils",4.571892980874317,4.6280407726027395,4.75258035890411,4.790075,4.812075,4.704075,4.853075,4.789762671232876,4.8820749999999995,4.819075,4.819075,4.819075,4.834738934426229
