,Country,2016,2017,2018,1Q19,2Q19,3Q19,4Q19,2019,1Q20,2Q20,3Q20,4Q20,2020
0,World oil demand and supply balance,,,,,,,,,,,,,
1,World demand,,,,,,,,,,,,,
2,OECD,47.06550819672132,47.60606849315068,48.00539096230281,47.71918087804634,47.14665371603155,48.45629523029243,48.292612724175555,47.906770682175605,45.53135008958477,38.36964868997228,45.17012829712076,46.546261421389225,43.91553642854299
3,Americas,24.890128415300552,25.07025479452055,25.60211832342504,25.135017316511576,25.29198712186145,26.029212666927535,25.990015789790593,25.61504494409179,24.553911797587094,20.34584763395559,24.77921627673521,25.264862775517965,23.744298930888675
4,Europe,14.036516393442627,14.384468493150685,14.326887671232877,14.08823743667313,14.247815190186222,14.750958946194697,14.24797016572242,14.335326109325766,13.099809359168287,11.369953797546554,13.553239736548676,13.780476877208724,12.955457553003784
5,Asia Pacific,8.138863387978141,8.151345205479451,8.0763849676449,8.495926124861638,7.6068514039838755,7.676123617170202,8.05462676866254,7.956399628758061,7.8776289328293885,6.653847258470135,6.837672283836869,7.500921768662543,7.215779944650543
6,DCs,31.563791471319085,32.1329112061872,32.62061920907289,32.95776737760922,32.838823966045304,33.41483582098398,33.10180627370457,33.079624979743286,31.91589243460803,30.560992006677328,31.424845684050393,32.002255066895806,31.47762735203867
7,FSU,4.5716002056814595,4.64302237431116,4.75552759240992,4.697616243785302,4.676995950782472,4.955426912495988,5.037028880433816,4.8430082915381485,4.497596335084218,4.376638027437441,4.5513339980671725,4.709328588193439,4.534649390637158
8,Other Europe,0.6957174619115104,0.7176753476299956,0.7426754272998229,0.7516228418403051,0.7086523135920011,0.7488278267460908,0.8407715617476351,0.7626755069696501,0.7076228418403051,0.6406523135920009,0.5697839251087199,0.664219107104405,0.6454436359920127
9,China,11.800905110163937,12.320791966807,12.712058781911516,12.626663111261273,13.190258235504947,12.952557472329184,13.519547053625717,13.074374783102233,10.269715866321103,12.749827454350145,12.566588054222475,13.3797012563269,12.246679700610564
10,(a) Total world demand,95.6975224457973,97.42046938808602,98.83627197299695,98.75285045254243,98.56138418195627,100.52794326284771,100.79176649368729,99.66645424352892,92.92217756743842,86.69775849202921,94.2826799585695,97.3017654399098,92.81993650782141
11,Non-OPEC liquids production,,,,,,,,,,,,,
12,OECD,24.863794898907102,25.71077861369863,28.325075328767127,29.319509,29.640109,29.743909000000002,31.024909,29.93626571232877,31.122674,29.816308000000003,29.628642,29.358930000000004,29.978972639344263
13,Americas,20.585297418032788,21.492314915068487,24.076054545205483,25.065162,25.588162,25.685362,26.622562,25.744428301369858,26.547715000000004,25.3634,25.093127,24.661662000000003,25.41353019945355
14,Europe,3.8532053579234975,3.826701879452055,3.841006594520548,3.8239769999999997,3.5745769999999997,3.546177,3.8849769999999997,3.707152342465753,4.059843,3.9111,3.958067,4.120236,4.012458166666667
15,Asia Pacific,0.4252921229508197,0.39176181917808217,0.4080141890410959,0.43037,0.47736999999999996,0.51237,0.51737,0.4846850684931507,0.515116,0.541808,0.577448,0.577032,0.5529842732240438
16,DCs,14.097711084699455,13.942664191780825,14.020701890410958,14.028704,14.097704,14.248704,14.465704,14.211506739726028,14.480034,14.055160999999998,14.173010999999999,14.233185999999998,14.235171773224044
17,FSU,13.851691497267762,14.04937279452055,14.290646265753427,14.552479,14.158079,14.343679000000002,14.422279,14.368702561643836,14.503692000000001,11.824297,12.428125,12.426178000000002,12.793559767759564
18,Other Europe,0.13340434699453552,0.12773456164383562,0.12448763835616435,0.122326,0.122326,0.122326,0.119326,0.12156983561643835,0.119843,0.11744500000000001,0.11512599999999999,0.112891,0.11631358469945355
19,China,4.090145071038251,3.969115104109589,3.9765834164383564,4.047609,4.0766089999999995,4.046608999999999,4.033608999999999,4.0510583150684925,4.043029,3.9998199999999997,3.989761,4.009537,4.010477254098361
20,Processing gains,2.194,2.218,2.25,2.278,2.278,2.278,2.278,2.278,2.332,2.332,2.332,2.332,2.332
21,Total non-OPEC liquids production,59.23074689890712,60.01766526575342,62.987494539726036,64.34862700000001,64.372827,64.78322700000001,66.343827,64.96710316438357,66.601272,62.145031,62.666665,62.47272200000001,63.46649501912568
22,"OPEC NGLs + 
non-conventional oils",4.571892980874317,4.62804077260274,4.75258035890411,4.790075,4.812075,4.704075,4.853075,4.789762671232876,4.882075,4.819075,4.819075,4.819075,4.834738934426229
23,(b) Total non-OPEC liquids production and OPEC NGLs,63.80263987978143,64.64570603835617,67.74007489863014,69.13870200000001,69.18490200000001,69.48730200000001,71.19690200000002,69.75686583561645,71.483347,66.964106,67.48574,67.291797,68.3012339535519
24,"OPEC crude oil production 
(secondary sources)",31.663241999999997,31.483833,31.344268,29.958323999999998,29.451974,28.862070000000003,29.095626,29.33832,28.264134000000002,,,,
25,Total liquids production,95.46588187978143,96.12953903835616,99.08434289863014,99.097026,98.636876,98.34937200000002,100.292528,99.09518583561643,99.74748100000001,,,,
26,Balance (stock change and miscellaneous),-0.2316405660158836,-1.2909303497298479,0.2480709256331721,0.3441755474575814,0.07549181804373006,-2.178571262847683,-0.4992384936872867,-0.5712684079124841,6.825303432561568,,,,
27,"OECD closing stock levels, mb",,,,,,,,,,,,,
28,Commercial,3007.293,2859.54,2873.147,2876.651,2935.883,2944.6070000000004,2901.695,2901.695,,,,,
29,SPR,1600.951,1568.9229999999998,1551.7230000000004,1556.9219999999998,1548.807,1544.476,1535.34,1535.34,,,,,
30,Total,4608.244000000001,4428.463,4424.87,4433.5729999999985,4484.69,4489.083000000001,4437.035,4437.035,,,,,
31,Oil-on-water,1102.4556375999998,1025.0654376,1058.4556376,1013.4556376000003,995.4556376000003,1012.4556376000003,1011.4556376000003,1011.4556376000003,,,,,
32,"Days of forward consumption in OECD, days",,,,,,,,,,,,,
33,Commercial onland stocks,63.17037082011243,59.56705992136406,59.97371476071953,61.01495595692374,60.58826796491518,60.97427399130786,63.72960595920827,66.07445191342435,,,,,
34,SPR,33.629137012865,32.682225236578695,32.390473786982696,33.02295873165205,31.962967714291207,31.98162022877728,33.72050240063509,34.961203365879925,,,,,
35,Total,96.79950783297743,92.24928515794277,92.3641885477022,94.0379146885758,92.55123567920641,92.95589422008513,97.45010835984337,101.03565527930428,,,,,
36,Memo items,,,,,,,,,,,,,
37,(a) - (b),31.89488256601589,32.77476334972985,31.096197074366827,29.614148452542423,29.37648218195628,31.04064126284769,29.594864493687282,29.90958840791248,21.43883056743843,19.733652492029194,26.79693995856952,30.009968439909787,24.518702554269492
38,Note:  Non-OPEC liquids production includes the Republic Ecuador.,,,,,,,,,,,,,
39,Totals may not add up due to independent rounding.,,,,,,,,,,,,,
40,Source: OPEC.,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
