,Country,2016,2017,2018,1Q19,2Q19,3Q19,4Q19,2019,1Q20,2Q20,3Q20,4Q20,2020
12,OECD,24.863794898907102,25.71077861369863,28.325075328767127,29.319509,29.640109,29.743909000000002,31.024909,29.93626571232877,31.122674,29.816308000000003,29.628642,29.358930000000004,29.978972639344263
13,Americas,20.585297418032788,21.492314915068487,24.076054545205483,25.065162,25.588162,25.685362,26.622562,25.744428301369858,26.547715000000004,25.3634,25.093127,24.661662000000003,25.41353019945355
14,Europe,3.8532053579234975,3.826701879452055,3.841006594520548,3.8239769999999997,3.5745769999999997,3.546177,3.8849769999999997,3.707152342465753,4.059843,3.9111,3.958067,4.120236,4.012458166666667
15,Asia Pacific,0.4252921229508197,0.39176181917808217,0.4080141890410959,0.43037,0.47736999999999996,0.51237,0.51737,0.4846850684931507,0.515116,0.541808,0.577448,0.577032,0.5529842732240438
16,DCs,14.097711084699455,13.942664191780825,14.020701890410958,14.028704,14.097704,14.248704,14.465704,14.211506739726028,14.480034,14.055160999999998,14.173010999999999,14.233185999999998,14.235171773224044
17,FSU,13.851691497267762,14.04937279452055,14.290646265753427,14.552479,14.158079,14.343679000000002,14.422279,14.368702561643836,14.503692000000001,11.824297,12.428125,12.426178000000002,12.793559767759564
18,Other Europe,0.13340434699453552,0.12773456164383562,0.12448763835616435,0.122326,0.122326,0.122326,0.119326,0.12156983561643835,0.119843,0.11744500000000001,0.11512599999999999,0.112891,0.11631358469945355
19,China,4.090145071038251,3.969115104109589,3.9765834164383564,4.047609,4.0766089999999995,4.046608999999999,4.033608999999999,4.0510583150684925,4.043029,3.9998199999999997,3.989761,4.009537,4.010477254098361
20,Processing gains,2.194,2.218,2.25,2.278,2.278,2.278,2.278,2.278,2.332,2.332,2.332,2.332,2.332
21,Total non-OPEC liquids production,59.23074689890712,60.01766526575342,62.987494539726036,64.34862700000001,64.372827,64.78322700000001,66.343827,64.96710316438357,66.601272,62.145031,62.666665,62.47272200000001,63.46649501912568
22,"OPEC NGLs + 
non-conventional oils",4.571892980874317,4.62804077260274,4.75258035890411,4.790075,4.812075,4.704075,4.853075,4.789762671232876,4.882075,4.819075,4.819075,4.819075,4.834738934426229
